Δ Founding Member	Ethereum Address	Genesis Sentence 🌝	MVT (Movement Token) Balance	Movement Activity	Bitcointalk Rank	Spheres	Vote #00001	Media	Greenpoint	Contributor	Ambassador
housebtc	0x3c4eD665cbDC1964BBb92FAcD977a4a3c3165397	A new movement has begun, it is getting bigger per post	1392	No Vote	Senior Member						
phirto	0xD66aaEbba94A3F93e12b31DCcFd011b4DD832bc1	This is a pretty cool sentence	835	No Vote	Member						
Fredii	0xF06B394314CC76bdeaFffedB08368C0c04188311	Genesis Creates a decentralized community, a strong token in a variety of hands.	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 30.08.17 #2 Airdrop Participant Hard Cap Proposal: 3000				
JHB3	0x5f34B352311289fe4eF051f4d8E4953FE5E7aa31	This project will get huge and awsome	8765	1	Full Member		#1 Airdrop Closing Date Proposal: 8.8.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
LivingDeath	0x42ba984c1d49431dAac45Ac96e03371D21E07ab6	What goes around comes around.	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 01.09.17 #2 Airdrop Participant Hard Cap Proposal: 4000 				
BitcoinRonnie	0x6B0F80eB4948ce01dA44E3a11Cd9ec2595eb68D1	project brings new impetus to the life movement	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 20.08.17 #2 Airdrop Participant Hard Cap Proposal: 900				
losk22	0x7AD91e2616D4c50f002eE06abb852455D8F068Fa	Рад присоединиться к этому проекту!	11926	1	Legendary		#1 Airdrop Closing Date Proposal: 8.8.17 #2 Airdrop Participant Hard Cap Proposal:500				
Densitymax	0x3563C41a6230CbCEca33cc6F18EF0Ba6328FdA0B	too tu tuoo turut tou too turut	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 30.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
erre	0xef272d104d0f678eceb3f9b63b055c5158daf9f0	Thank you for the fish	10435	1	Hero Member	Sphere Name: Italian Community✓ Description: I would like to become translator and ambassador for the Italian Community, in order to spread the movement and manage local issues	#1 Airdrop Closing Date Proposal: 06.09.17 #2 Airdrop Participant Hard Cap Proposal: 3333				
triat	0x6fa58E8f5AcE80Bbc84f5Ca965E1684761B37DB6	triathlon best sport for endurance in the world	1392	No Vote	Senior Member						
dinc	0x6c15C4a676cc833Fde9a58445482475C27D4Cb41	веселые пять странных русских слов	4638	0.5	Senior Member	Sphere Name: Russian Manager✓ Description: I wanna create Russian Thread about Movement	#1 Airdrop Closing Date Proposal: 02.09.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
paramind22	0x01650cA42114e7a99e1DE3ACb912Ca3B7D1552ba	blue window rain dripping down	9275	1	Senior Member	Sphere Name: composing✓ Description:  I compose music.  	#1 Airdrop Closing Date Proposal: 01.09.2017 #2 Airdrop Participant Hard Cap Proposal: 3000 				
amgomez	0xD754509Ae3cA3546E3a8607002bbc59E17cAdc03	Praise the Lord of DAO!	10435	1	Hero Member		#1 Airdrop Closing Date Proposal: 12.08.17 #2 Airdrop Participant Hard Cap Proposal: 814				
Noidor	0x4Ed3B44A5fb462925fa96a27BA88466B97B2Ca55	bitcointalk really good site about bitcoin and altcoins	1252	No Vote	Full Member						
SlowGrowth	0x63fa66e2Ccf2DAa40Fddd91C6DBc148167a07E80	Um mundo unido por uma blockchain	31222	2	Full Member	Users: slowgrowth; vinipoars Spheres: Portuguese & Brazil Sphere✓ Subject:  we have been in contact and since both spheres are for Portuguese speakers we would like to combine efforts in managing both in the same place. If this is not of your interest we can revert back to old model. Discord channel updated: https://discord.gg/Q884p6e;   Portugese ANN: https://bitcointalk.org/index.php?topic=2196214.msg22066447#msg22066447,  Portugese Whitepaper ✓	#1 Airdrop Closing Date Proposal: 10.08.2017 #2 Airdrop Participant Hard Cap Proposal: 500 	✓	✓		✓
Luigi21	0x47045D1eE924AD6Ff890Ce8B52D6c1F08Ad42235	I love the full moon	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 21.08.17 #2 Airdrop Participant Hard Cap Proposal: 3000				
izotoniq	0xbE5e239CAB7E6caE599CCb542820a68e9D86e13A	welcome to united states on next week	1252	No Vote	Full Member						
imjustsayintho	0x9357D573abCbE4700c8dd2a0f2cEaFD6E151B270	A bird in hand is better than a bird in the bush	1392	No Vote	Senior Member						
carlo__	0xB89e07d2165bC38dF591A78abcc961639519c43b	Go Dao Through The Future	1252	No Vote	Full Member						
yurez	0x8661Cf75E71E491BB27ACD66aD22eA2fa93120AB	Why people do not fly like birds?	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 10.08.17 #2 Airdrop Participant Hard Cap Proposal: 1500 				
Platax	0xDBa8B9dF1134E1d879F81671ea9d114E8180D70b	rain ocean cold beer evening million dollar suitcase	10957	1	Hero Member		#1 Airdrop Closing Date Proposal: 11.08.17 #2 Airdrop Participant Hard Cap Proposal: 888	✓			
Yaremi	0x4f691fb14282fd40517511b47d33fed39dbd6a69	My ready is body lol 	5963	0.5	Legendary		#1 Airdrop Closing Date Proposal: 03.09.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
Voltaje	0x261A4FB19770DeD18950b1b4831673626A0d0092	el mono baila a la germa	8765	1	Full Member		#1 Airdrop Closing Date Proposal: 31.10.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
johhnyUA	0x6350632F0c38eF922EA2Eea20006779724eF0858	It will soon be a wasteland	1566	No Vote	Hero Member						
EbonHawk	0x46575A98c720f51C970a670c8c51591776a8b75f	daisy judo wool stadium teeth	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 30.09.17 #2 Airdrop Participant Hard Cap Proposal: 5000				
jiangsuren	0x910D722E1B0CAF9FF0D10152e5B473EfA39203B3	we are the cryptoworld leader in the future	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 15.08.17 #2 Airdrop Participant Hard Cap Proposal: 500 				
Vlad2Vlad	0xb09d47887fe496959b9607a41638cdc3dfd1a908	CfA is my friend and all good things Come from Above	11926	1	Legendary		#1 Airdrop Closing Date Proposal: 01.09.17 #2 Airdrop Participant Hard Cap Proposal: 3000 				
Coin_trader	0x04Dd9b612af3ADA8Dd044486c5765d2ee16981Cb	This DAO will be bigger than the other token of the same pattern.	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 20.08.17 #2 Airdrop Participant Hard Cap Proposal: 3000 				
FreshB	0x93BF27a3512F28a4ce66ebd0bc0fC8DFD0602448	Impossible is just a big word thrown around by small men who find it easier to live in the world they've been given than to explore the power they have to change it Impossible is not a fact, It's an opinion, Impossible is not a declaration, It's a dare, Impossible is potential, Impossible is temporary, Impossible is nothing.	31222	2	Full Member	Sphere name: Creative designs for the DAO✓ Description: I would like to design and create new art, memes and logo for the movement often, other members can contact me incase they would like to also do this. https://bitcointalk.org/index.php?topic=2126817.new#new	#1 Airdrop Closing Date Proposal: 09.09.17 #2 Airdrop Participant Hard Cap Proposal: 1500	✓	✓		✓
battyKit	0x6d330800687ee1b85d4af30bff6bc41638f21524	poloniex wings future neon kepler	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 21.10.17 #2 Airdrop Participant Hard Cap Proposal: 1000 				
artatagg	0xb159CD48c080A737ecd9C0355d0933a9e2Fe4527	saya suka dengan job seperti ini	2782	0.5	Member	Sphere Name:fitriacong99 Description: we create play game for to introduce the people of the world about crypto Comment: Please explain the meaning of the name and give some more information	#1 Airdrop Closing Date Proposal: 15.8.17 #2 Airdrop Participant Hard Cap Proposal: 900	✓			
J@soN	0x7e4F7845e668c75C49d1f55d62CE5EC43b428218	Nothing is impossible as long as you believe and doing it, don't give up!	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 12/07/2017 #2 Airdrop Participant Hard Cap Proposal: 3000 				
happyhours	0x6a200b5d051C03eD18f8E65791785841C43f238A	Goals are dreams with deadlines	8765	1	Full Member		#1 Airdrop Closing Date Proposal: 01.09.17 #2 Airdrop Participant Hard Cap Proposal: 1000 	✓			
MarioV	0x29Ca391Be423b03528778feB4A5A47BdD436a8bf	The Movement is not static	1565	No Vote	Hero Member						
hansen.ng	0x1c2f9392A119D1FAD06c934ee9B7C07ea7778257	I want to a billionaire so freaking bad	4870	0.5	Senior Member		1 Airdrop Closing Date Proposal: 01.09.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
Larion94	0xe349E61F5E97582ccCFed1d1f36f521C8FAda339	Отбрось все сомнения и иди до конца	1392	No Vote	Senior Member						
magisterr	0x928b8817f1c981Ba34E265B926E5f4C61A09fFEA	Just want to ask airdrop )	1252	No Vote	Full Member						
rindo	0x4b027657b2cA183A0153865857Ea97d8d7B7B50B	Masa depanmu disini, Kita melangkah bersama	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: this week #2 Airdrop Participant Hard Cap Proposal: 500				
beijihu	0x07d5EabCE8AD14c85ec3C45b4272FC0f5A8fCF99	If you love life， don't waste time， for time is what life is made up of. 	5478	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 10.08.17 #2 Airdrop Participant Hard Cap Proposal: 900	✓			
Landak	0x515aEE15907e476079c29D3d859735b0fB861136	Steps that we will achieve together, will find success.	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal:  7 August 2017 (Today) #2 Airdrop Participant Hard Cap Proposal: 500				
eugeney	0xeBc95BC7925D5B6995e12c77a50D3F12FA2c73f5	do whatever makes you happiest	1566	No Vote	Hero Member						
debutant	0x72eb41AE7f943445Da9932662d31A06D56A3cfAa	DAO for longtime , like a train in the night	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 31.12.2017 #2 Airdrop Participant Hard Cap Proposal: 2000				
Azkabal	0x22d34463AB3EE58077eDf7511F786686448dB384	Castle Fire Anvil Good Dwarf	1392	No Vote	Senior Member			✓			
DedGin	0x00d97D7f128D251Cfd3Bd638FE300Abf3037C736	Support DAO project and success to the team!	1252	No Vote	Full Member						
Capuchino	0x5f97F9eE5b453082eDcdf0e39A68Cc2d5Eb25CD0	Good idea always shines a good result	4638	0.5	Senior Member		# 1 Airdrop Closing Date Proposal: 08.08.17 # 2 Airdrop Participant Hard Cap Proposal: 500				
boopy265420	0xCe20e0ce916Ba26e2BC7f91fe82ab5a95fA5c80d	ecosystem new era financial freedom	1789	No Vote	Legendary						
testcoin	0xEdd52BF88764B2633D3F5ae864E9AF5fFD84C527	Nice DAO idea and great Movement	1392	No Vote	Senior Member						
Che454010	0x41dB7F9A77Baf8dea30dDd6bc5589fCe92f3f917	Цифровое золото - наше всё!	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 31.8.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
memii	0xB9cDe3B46a5F8C7eb633D6DAC0CF054D3Ce64D35	best things always come later	1566	No Vote	Hero Member						
Odeoke	0xE544C9dA180d6Ae9A33CDE7a08Ba0641535eCe71	dipich dum pui da oui oui da pichik thum thoo kul hudo	1252	No Vote	Full Member						
chohav	0x3dbadE2d70591A736c73FF656B5fa4f36A40634D	We buy Bitcoin. We Hodl. We run the nodes. We validate the blocks. We Give This Value. Do not fuck with us.	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 17.09.17 #2 Airdrop Participant Hard Cap Proposal: 2500 				
jtalk	0xD3E61B8aC38EA38B2A557E878130CE2Dff69da75	lets join the revolution by becoming part of the movement 	1789	No Vote	Legendary						
ixtreme1gaming	0x3179f88ded783b02e0EA90D44cE5C584AcbD9F3A	When you gaze long into an abyss the abyss also gazes into you	1252	No Vote	Full Member						
sluggo	0xb864108fa37c7d7bf0ffca2cb173eef6465db8f5	gaze long into an abyss	2782	0.5	Member	Sphere Name: masternode networks✓ Description: networks of masternodes	#1 Airdrop Closing Date Proposal: 10.10.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
Kevinatin	0x4D5e164ACa544505bEE3954fE02DDBb5a5Fb0266	Very hot, perhaps I will drink water or juice.	4174	0.5	Full Member		Airdrop Closing Date Proposal: 15.08.17 Airdrop Participant Hard Cap Proposal: 2000				
rolik2001	0xbf5f578cd3a533ef917705f3440a5aa8865969e2	rolik2001 rolik2001 rolik2001 rolik2001 rolik2001	1566	No Vote	Hero Member						
YupiterZ	0xD45749B4fa4073E0ac9E1291fcAF63E3182F34a0	roof wreck immortal axe bee crop fluent research spring	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 18.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
EddyGameta	0x6890BD65e282F319ceDEB0FF9B051b49f7744340	Never underestimate yourself. If you are unhappy with your life, fix what's wrong, and keep stepping	1566	No Vote	Hero Member						
NrX	0x2e96DAD8Bd62224D609546D3aAE4C4A289D34949	humble working situation great rewards everyone	1252	No Vote	Full Member						
AdobeWriter	0x65e678Db8E22b0DbD9651841182f2c21128CD049	Nod is but a shadow of what it was but that is how it should be.	23213	1.75	Senior Member		#1 Airdrop Closing Date Proposal: 15.8.17 #2 Airdrop Participant Hard Cap Proposal: 2000 		✓	✓	
Phildo	0x6bb7169495185098e819f6e163d66a487a35ce5b	Do not give up just because it failed at the first opportunity. Something precious you will not have it easily. Keep trying !	1789	No Vote	Legendary						
Winged13	0xEa4459c0D4188C484791784aEBe2220B7D717E84	red power beauty twice white 	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 31.08.2017 #2 Airdrop Participant Hard Cap Proposal: 9000				
qiwoman2	0xC4Ce7d6B8b01d1CE6AeC1e5295Aa5c91D8F420fB	Our World will be a better place after the Dao unfolds and a new dawn will pervade the Earth, a new Era is thus born. 	11926	1	Legendary	Sphere Name: CRYPTOPIA EDUCATION✓ Description: Help Newbies settle in and learn all about crypto and the DAO, would like to make video and written tutorials and also let Newbies feel loved and welcomed. :)	#1 Airdrop Closing Date Proposal: 30.10.2017 #2 Airdrop Participant Hard Cap Proposal: 3000				
eLeepod	0x7522B31CD0cbA4E8F64dbEBeF846456F0aaff9F3	we all gonna be rich soon	2505	0.5	Jr. Member		#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
qiman	0x8580a76997B6278C4584FDE6E6580314d4cb7e54	To know the DAO one must retain a state of WUWEI, to live the DAO one must attain the state of NON - ACTION.	31538	2	Senior Member	Added by MovementAI: Chinese Ambassador Lead, Chinese Translator✓	#1 Airdrop Closing Date Proposal: 01.09.2017 #2 Airdrop Participant Hard Cap Proposal: 800				✓
addicto	0xD291Bfd2b1D7c029bbd728aE924295f6177a6183	one big apple plus one small apple is equal to two apples what is this logic when both are same	1789	No Vote	Legendary						
Jakiman	0xa028877640B4f36B9686b036788F89b86a3Be98D	When we are already one of the majors, does not mean we should be one of the future.	1789	No Vote	Legendary						
Amritt	0x92634A67cDbd885c70074091ee78ee6451BD77b2	A person can not change his essence. He can convince others that he has changed, but not himself.	1392	No Vote	Senior Member						
Bolo_young	0xA5918ECdD8e44307a3C8B26Aae71A781a8e087A7	I do not believe in God, but I'm afraid of him.	1252	No Vote	Full Member						
robocop3	0xB2AC8120C111114a679f58980A8D93817a275BD8	Like the airdrop of DAO!	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 10.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
BITDV	0x577876b348937e59ce30d674f7ad941d5475e54b	Believe that all obstacles that occur when this is just a trial order ourselves to be better in the future	1789	No Vote	Legendary						
BeerCN	0x6cCA80d972245CBE17807086850149a8Fd17b04F	A good deed is never lost Dao airdrop	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 12.08.17 #2 Airdrop Participant Hard Cap Proposal: 700 	✓			
Dcrstats	0xC4AcEdF24aCbD6ccAAc87Ef8359Ea3E2c9818bd6	good luck with the project guys	10435	1	Hero Member		#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
Andergriff	0xbDE893a6c4fe61625c1452b5Ab814Ae5270C64cd	logic elevator cement praise text	1252	No Vote	Full Member						
Joerii	0x4db3d1db8cd46b718dab4970e2b2b5980673bf7d	Never complained of shortcomings, because shortage remind you to continue to look for the power that is within you	1789	No Vote	Legendary						
BTCdoaA	0x4cd3f97Ad6ed6CB4491571ccE49022B1a9F1006f	i am in love using facebook everyday track me. 	1566	No Vote	Hero Member						
vlom	0x555e86d5fCF6298bcB313E1b1B7A7F9eaf78dA10	La résistance: vivre libre ou mourir	13119	1	Legendary	Sphere Name: riot.im chat ✓ Description: a encrypted chat for the movement can be found here: https://riot.im/app/#/room/#DAOMovement:matrix.org	#1 Airdrop Closing Date Proposal: 1.9.17 #2 Airdrop Participant Hard Cap Proposal: 1'917	✓	✓		
bagera	0xCB4CC2526976Fe8263D010e7D6Cb0395DC0FD68b	Movement is life I am airdrop	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 31.10.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
PapillonV	0x995ece426FA3f1641547Ae3308D16B02fE397C59	PapillonV is also participating in the airdrop.	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 15.08.17 #2 Airdrop Participant Hard Cap Proposal: 3000				
casper77	0x3fca06242069aae3b07ff8ebd69f54121c5005de	including previously minutes logged in	1789	No Vote	Legendary						
Barben	0x2c421ED67A96a7CF4B77fAC804Db76Fc3B8Dc9c4	Barben A good beginning is half the battle Barben	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 16.08.17 #2 Airdrop Participant Hard Cap Proposal: 900	✓			
2x25BT	0x2f103133521942b648a64a92cbd8eb352de6dfd9	news as well as local and regional perspectives	1252	No Vote	Full Member						
evergrow	0xd8Bdba7162734058cFDcBc4c1A6B139d19742b21	I have a feeling deep inside this is the time for me	22157	1.75	Senior Member	Sphere Name: German Knowledge Base✓ Description: I will help with creating and maintaing the German parts of the Movement's knowledge base. I am going to connect with other "Movers" to create guides for newcomers! Comment: If you would like to build a team, pease contact #56 SEELE, #324 Antragos, #431 Grae, #505 mainconcept	#1 Airdrop Closing Date Proposal: 15.10.17 #2 Airdrop Participant Hard Cap Proposal: 5000 	✓			
Haslett5236	0x600bc2437A733DdBa5f49ab9847869D455d55198	i like music and movie 	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 10.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000 				
LEEMEEGO	0xB5A017b6df4bCE0f61b54894EeF644dca9765a63	i love airdrops as much as i love bitcoins.	1392	No Vote	Senior Member						
toolucky98	0x885f23994876Dc0FBcb4c9855b1Ef086D3Baf07D	Lets learn and make profit	4174	0.5	Full Member	Sphere Name: Twitter Bounty Description: Follow + Like + Retweet	#1 Airdrop Closing Date Proposal: 30.08.2017 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
cold_nebula	0x6c0D5BB006A059C7BF804bec328884903b38756d	We have so much difficulty imagining nothingness.	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 8.8.17 #2 Airdrop Participant Hard Cap Proposal: 600				
rusmana62	0x86106e420FD2ab33748f0AdD547748f4A37ad453	A beautiful life with DAO GENESIS	1566	No Vote	Hero Member						
Kamayulka78	0xe8390101E46409269C056697Ba60Fd260A97ce15	Удачи во всех ваших начинаниях!	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 15.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
chanbtc	0xCAE9AEC0eE0C088Db39Db164d910379008715BC2	I want to support the Movement DAO	1252	No Vote	Full Member						
marcus03	0x8c7dbB1FE7216e20EBC13A150f44F9e436e412d4	Better safe than sorry brother.	4174	0.5	Full Member						
Grae	0xf04a702b4b800d228EDA29ee90bA17d0c7c1b5e4	Crypto Grae Rabbit Hole Life	5895	1.75	Jr. Member	"Sphere Name: German Community✓ Description: I would like to become translator and ambassador for the German Community in order to help the DAO to develop. Everybody is whole hearted invited to join the sphere. We should sooner or later create a slack where every sphere should be invited so we have a good overview over the developments of the different spheres! Sphere Name: Discord✓ Comment: Grae is The Movement's Discord administrator"	#1 Airdrop Closing Date Proposal: 9.8.2017 #2 Airdrop Participant Hard Cap Proposal: 10000 	✓		✓	
LifeOfDoge	0x00619e08176D54c3787936c65db1DA902d8a312a	did you ever hear the tragedy of darth plagueis the wise	9187	1	Full Member	Sphere Name: Czech Community✓ Description: I would like to become translator and ambassador for the Czech Community. I have created Czech translation https://bitcointalk.org/index.php?topic=2076635.0 and spreaded word in official Czech thread.	#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 500	✓			✓
DrobaDan	0x1118b2f09E73883b05A7BF5648e725773B4dD72E	A good name keeps its lustre in the dark ETH	4870	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 14.08.17 #2 Airdrop Participant Hard Cap Proposal: 750 	✓			
abrakadabra	0x794CaA8f38a9748b529a3c359D74ef50BdfA2F5E	one two three noname coinspot 	5217	0.5	Hero Member	Sphere Name: Russia✓ Description: Posting on the thread and sharing the message	#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
